Marker	p-value	t-statistic
PVV4	6,346581761358279e-07	5,189749208982754
CRY2	2,3785070768364058e-08	5,8769033640552095
AXR-1	1,9837937374589304e-07	5,440812156305608
HH.335C	3,870230565524437e-06	4,785463539000938
DF.162L	2,7788629466651477e-06	4,861204197877791
BH.147L	1,1310868223739677e-05	4,534443801859955
EC.480C	8,521047519775251e-06	4,601645817519084
EC.66C	0,00039879321496126606	3,6182126466369957
GD.86L	7,34026831094168e-05	4,072390626065507
g2395	0,0005168896505262138	3,5444443848363174
CH.160L	0,0006676304700294624	3,471486595366056
AD.121C	0,019543856043524	2,3590644406283654
AD.106L	0,014941167406975162	2,4607432890463583
FD.222L	0,04050275376050909	-2,0654577389668494
CH.65C	0,03842355261818197	-2,0876553918739202
BF.221L	0,016946904178456554	-2,4132743595233213
FD.150C	0,043420106289358815	-2,035901416997935
Erecta	0,04268451279614278	-2,043190109185466
BH.120L	0,035911208681427685	-2,115896458827302
DF.140C	0,017911913089806792	-2,3922648722289312
T2N18	0,01195269574072617	-2,5427759481138774
T6A23	0,0108945814794634	-2,5763512714024803
EG.357C	0,017588081574453192	-2,3992009690854488
F4I1	0,0009239595015106407	-3,376160863923575
MSAT2.22	0,0022529614681606447	-3,1050541961052045
nga151	0,0186077715371713	-2,377727802001704
DF.231C	0,02088357683783449	-2,3333193627923867
DF.184L	0,005452611321408049	-2,8176081354996967
GH.473C	0,0017323289745714498	-3,1871034723490705
GH.121L	0,002528039433319811	-3,069043283516665
AD.129L	0,005950599032342415	-2,788486216253666
HH.480C	0,002021919288613202	-3,1392192709818914
GB.235C	0,023027107609687538	-2,2953715692568744

GB.112L	0,9894740842730991	0,013213424651047282
BH.106L	0,6923183050210904	0,39643600559402364
GD.97L	0,5371320923991125	-0,6185065823742659
DF.93C	0,31241832110852885	-1,0133799395279786
CD.108L	0,3106949779170613	-1,0170073041574013
DF.85C	0,2632529565932022	-1,122710397108839
FD.59C	0,10459407264065196	-1,6323647375144912
BF.206L	0,15687117115290608	-1,4223925055190074
CH.200C	0,08017449744968369	-1,7609191425857216
DF.260L	0,11005798702107615	-1,606910897225259
EC.88C	0,08197766982977314	-1,750402841739961
DF.408C	0,13840548120160853	-1,4892383094812345
HH.375L	0,5576414607874627	-0,587597285907447
CH.215L	0,5359301862190637	-0,6203276430086534
BF.116C	0,7988308567186971	-0,25528766210414905
GH.157L	0,6529378519397072	-0,4505412486103013
CC.318C	0,45930010944595545	-0,7418159676863749
CD.173L	0,9457946396835465	-0,06809616734020718
FD.90L	0,7052519386896088	-0,3789211429100135
CD.227C	0,8564248180676104	-0,18122112350780023
HH.360L	0,7418437954402809	-0,3299874621029001
AD.156C	0,21903706285559285	-1,2339951752859912
BF.325L	0,4957375449690401	-0,6827830535464652
GH.580L	0,3510596883607028	-0,9353025615569053
CH.610C	0,19527926887069283	-1,300594230528909
EC.495C	0,15581182618541606	-1,4260586722726118
FD.81L	0,10846689594264596	-1,6141997787678946
BF.105C	0,16983220018303538	-1,3789978111579206
CH.284C	0,4565584508549476	-0,7463494371119983
EG.66L	0,07183547231486004	-1,812242117096185
FD.85C	0,12823998420362917	-1,5290462482537035
GB.150L	0,17063312615934093	-1,3763998751307067
GD.460L	0,09003963957803973	-1,7055768181345266
BH.195L	0,1197291988004808	-1,5643257648308906
GH.247L	0,07940116462701516	-1,76556090391257
DF.77C	0,08374164267545861	1,7402968489573367
GB.120C	0,46344181761448755	0,7349676832677682
EG.75L	0,1968601231690185	1,2960504412566178
CH.322C	0,12731721271327257	1,532831689934211
FD.111L	0,27327055714464715	1,099389446079454
CC.266L	0,22573573176971826	1,2161653631759728
BH.88C	0,351342456142425	0,9347521359664798
GH.226C	0,9756437150414077	-0,030579518588785142
EC.83C	0,4600467124399593	-0,7405809335835983
GD.318C	0,8574600539830286	-0,1799019639282211
AD.92L	0,9943568381793453	-0,007083985198881667
BF.148C	0,9317018047986623	0,08584061035374
CD.800C	0,9083767921089844	-0,11527087091784358
BF.134C	0,5002578181363002	-0,6756287634633711
DF.250L	0,7250981444197977	-0,3522755079678948
GD.136C	0,44366897899185853	-0,7679279084465604
HH.440L	0,6011633677805452	-0,5237764070249408
BF.128C	0,17618838455277192	-1,358629449073268
HH.117C	0,16402188906461415	-1,3981279544882952
GD.296C	0,3603716652354916	-0,9173059009877572
